Vakances_Nr,Aktualizacijas_datums,Iestades_registracijas_numurs,Vakances_nosaukums,Vakances_kategorija,Alga_no,Alga_lidz,Slodzes_tips,Darba_laika_veids,Darba_stundas_nedela,Pieteiksanas_termins,Attels,Vieta,Vakances_paplasinats_apraksts
250203-34,2025-02-03,40003457109,"ANESTEZIOLOGS, REANIMATOLOGS",Veselības aprūpe / Sociālā aprūpe,14.250,14.250,Viena vesela slodze,"","",2026-02-02,"","Pilsoņu iela 13, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/404140495
250203-50,2025-02-03,40003457109,ĀRSTA PALĪGS/ FELDŠERIS,Veselības aprūpe / Sociālā aprūpe,7.950,9.150,Viena vesela slodze,Maiņu darbs,"",2026-02-02,"","Pilsoņu iela 13, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/404156590
250205-5,2025-02-05,40003457109,MĀSA/ vispārējās aprūpes MĀSA,Veselības aprūpe / Sociālā aprūpe,1537.000,1537.000,Viena vesela slodze,Normālais darba laiks,"",2026-02-02,"","Pilsoņu iela 13, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/404441876
250303-38,2025-03-03,40003457109,RADIOGRĀFERS,Veselības aprūpe / Sociālā aprūpe,8.700,8.700,Viena vesela slodze,Summētais darba laiks,"",2026-02-02,"","Pilsoņu iela 13, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/407027737
250409-29,2025-04-09,40003457109,"ANESTEZIOLOGS, REANIMATOLOGS",Veselības aprūpe / Sociālā aprūpe,17.250,17.250,Viena vesela slodze,"","",2026-02-02,"","Pilsoņu iela 13, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/411410649
250805-136,2025-08-05,40003457109,SANITĀRS,Veselības aprūpe / Sociālā aprūpe,5.490,6.090,Viena vesela slodze,Maiņu darbs,"",2026-02-02,"","Pilsoņu iela 13, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/422716720
250203-48,2025-02-03,40003457109,MĀSA/ vispārējās aprūpes MĀSA,Veselības aprūpe / Sociālā aprūpe,9.150,9.150,Viena vesela slodze,Maiņu darbs,"",2026-02-02,"","Pilsoņu iela 13, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/404156163
250303-21,2025-03-03,40003457109,ARODVESELĪBAS UN ARODSLIMĪBU ĀRSTS,Veselības aprūpe / Sociālā aprūpe,12.960,15.240,Viena vesela slodze,"","",2026-02-02,"","Pilsoņu iela 13, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/407022157
250617-216,2025-06-18,40003457109,MĀSA/ vispārējās aprūpes MĀSA,Veselības aprūpe / Sociālā aprūpe,9.150,9.150,"",Summētais darba laiks,"",2026-02-02,"","Pilsoņu iela 13, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/418150816
250908-245,2025-09-09,40003457109,VIRSMĀSA,Veselības aprūpe / Sociālā aprūpe,2045.000,2045.000,Viena vesela slodze,Normālais darba laiks,"",2026-02-02,"","Pilsoņu iela 13, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426101360
250911-93,2025-09-11,40003457109,NEIROLOGS,Veselības aprūpe / Sociālā aprūpe,14.250,16.770,Viena vesela slodze,"","",2026-02-02,"","Pilsoņu iela 13, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426488867
250704-201,2025-07-07,40003457109,APKOPĒJS,Veselības aprūpe / Sociālā aprūpe,4.950,4.950,"",Summētais darba laiks,"",2026-02-02,"","Pilsoņu iela 13, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/419886230
251219-14,2025-12-19,40003457109,SAIMNIECĪBAS STRUKTŪRVIENĪBAS VADĪTĀJS /DIREKTORS /PRIEKŠNIEKS,Veselības aprūpe / Sociālā aprūpe,2400.000,2400.000,Viena vesela slodze,Normālais darba laiks,"",2026-02-02,"","Pilsoņu iela 13, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/437012180
